image_path,p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y
C:/Users/aaron/CODING/ergScreenReader/images\GUZS7632.JPEG,0.20820633601182229,0.3148148148148148,0.738985868661679,0.29282407407407407,0.25952479911332776,0.7002314814814814,0.719924725223977,0.6550925925925926
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0001.HEIC,0.08641975308641976,0.3333333333333333,0.742283950617284,0.3229166666666667,0.13271604938271606,0.7858796296296297,0.7206790123456791,0.775462962962963
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0002.HEIC,0.13271604938271606,0.31712962962962965,0.7654320987654322,0.3078703703703704,0.16512345679012347,0.7743055555555556,0.7577160493827161,0.758101851851852
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0003.HEIC,0.09567901234567902,0.30324074074074076,0.7592592592592593,0.2986111111111111,0.14197530864197533,0.7708333333333334,0.7484567901234569,0.7534722222222222
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0004.HEIC,0.0910493827160494,0.363425925925926,0.6990740740740741,0.3599537037037037,0.11882716049382717,0.8055555555555556,0.7098765432098767,0.7881944444444444
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0005.HEIC,0.08641975308641976,0.3460648148148148,0.7006172839506174,0.34375,0.11265432098765432,0.7916666666666666,0.6898148148148148,0.775462962962963
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0009.HEIC,0.1234567901234568,0.19560185185185186,0.7947530864197532,0.21064814814814817,0.11882716049382717,0.6967592592592593,0.7824074074074074,0.7048611111111112
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0010.HEIC,0.09722222222222222,0.2847222222222222,0.6558641975308642,0.28125,0.10493827160493828,0.7094907407407408,0.6774691358024693,0.6944444444444444
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0011.HEIC,0.12808641975308643,0.2465277777777778,0.6990740740740741,0.24074074074074076,0.1388888888888889,0.681712962962963,0.7160493827160495,0.6666666666666666
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0012.HEIC,0.1820987654320988,0.2476851851851852,0.7175925925925926,0.24189814814814817,0.19444444444444445,0.6585648148148149,0.7407407407407407,0.6423611111111112
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0013.HEIC,0.2037037037037037,0.26851851851851855,0.7577160493827161,0.26157407407407407,0.21141975308641978,0.6909722222222222,0.7777777777777778,0.6759259259259259
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0014.HEIC,0.19135802469135804,0.2337962962962963,0.7206790123456791,0.23148148148148148,0.19290123456790126,0.6365740740740742,0.7345679012345679,0.6238425925925927
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0015.HEIC,0.19907407407407407,0.21875,0.7515432098765433,0.2222222222222222,0.2037037037037037,0.6458333333333334,0.7685185185185185,0.6296296296296297
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0016.HEIC,0.18055555555555555,0.2199074074074074,0.7330246913580248,0.21875,0.19135802469135804,0.6423611111111112,0.7515432098765433,0.6273148148148149
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0017.HEIC,0.18672839506172842,0.23958333333333334,0.7407407407407407,0.24189814814814817,0.19444444444444445,0.6666666666666666,0.7608024691358025,0.6493055555555556
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0018.HEIC,0.18364197530864199,0.2557870370370371,0.7391975308641976,0.25115740740740744,0.19907407407407407,0.6863425925925927,0.7669753086419754,0.664351851851852
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0019.HEIC,0.17592592592592593,0.2523148148148148,0.7067901234567902,0.2465277777777778,0.19444444444444445,0.6585648148148149,0.7361111111111112,0.6388888888888888
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0020.HEIC,0.17901234567901236,0.2673611111111111,0.7129629629629629,0.2638888888888889,0.1959876543209877,0.6747685185185186,0.7376543209876544,0.6539351851851852
C:/Users/aaron/CODING/ergScreenReader/images\IMG_0021.HEIC,0.17438271604938274,0.2708333333333333,0.7067901234567902,0.269675925925926,0.18981481481481483,0.6863425925925927,0.7361111111111112,0.6620370370370371
